2,1,30
3,-1,20
3,1,20
4,-1,15
4,1,15
5,-1,12
5,1,12
6,-5,11
6,-1,10
6,1,10
6,5,11
8,-7,9
8,7,9
1,0,61
2,2,31
5,-4,13
5,4,13
7,-6,10
7,6,10
1,1,62
2,-1,31
2,1,31
4,-3,16
4,3,16
8,3,8
1,0,62
2,0,31
3,-2,21
3,2,21
6,-4,11
6,4,11
7,-2,9
7,2,9
1,1,63
3,-1,21
3,1,21
5,-3,13
5,3,13
7,-1,9
7,1,9
1,1,64
2,-1,32
2,1,32
3,3,22
4,-1,16
4,1,16
5,5,14
6,-3,11
6,3,11
7,-5,10
7,5,10
8,1,8
1,1,65
5,-1,13
5,1,13
7,7,11
1,0,65
2,2,33
3,-2,22
3,2,22
5,0,13
6,-2,11
6,2,11
9,8,9
1,1,66
2,-1,33
2,1,33
3,-1,22
3,1,22
4,-3,17
4,3,17
6,-5,12
6,-1,11
6,1,11
6,5,12
8,-5,9
8,5,9
1,0,66
2,0,33
3,0,22
5,-4,14
5,4,14
6,0,11
7,-4,10
7,4,10
1,1,67
3,3,23
1,1,68
2,-1,34
2,1,34
4,-1,17
4,1,17
5,-3,14
5,3,14
7,-3,10
7,3,10
8,-7,10
8,7,10
1,0,69
2,2,35
3,0,23
5,-2,14
5,2,14
6,6,13
7,-2,10
7,2,10
1,0,70
2,0,35
5,0,14
7,0,10
1,1,71
7,-5,11
7,5,11
1,1,72
2,-1,36
2,1,36
3,-1,24
3,1,24
4,-1,18
4,1,18
6,-5,13
6,-1,12
6,1,12
6,5,13
7,7,12
8,-1,9
8,1,9
1,1,73
3,3,25
5,-3,15
5,3,15
1,0,73
2,2,37
7,-4,11
7,4,11
1,1,74
2,-1,37
2,1,37
4,-3,19
4,3,19
5,5,16
8,-5,10
8,5,10
1,0,74
2,0,37
3,-2,25
3,2,25
5,-2,15
5,2,15
6,-4,13
6,4,13
9,-8,10
9,8,10
1,1,75
3,-1,25
3,1,25
5,-1,15
5,1,15
7,-3,11
7,3,11
9,5,9
1,1,76
2,-1,38
2,1,38
3,3,26
4,-1,19
4,1,19
6,-3,13
6,3,13
8,-7,11
8,7,11
1,1,77
7,-1,11
7,1,11
1,0,77
2,2,39
3,-2,26
3,2,26
6,-2,13
6,2,13
7,0,11
9,4,9
1,1,78
2,-1,39
2,1,39
3,-1,26
3,1,26
4,-3,20
4,3,20
5,-3,16
5,3,16
6,-5,14
6,-1,13
6,1,13
6,5,14
7,-5,12
7,5,12
8,-3,10
8,3,10
9,-7,10
9,7,10
1,0,78
2,0,39
3,0,26
6,0,13
1,1,80
2,-1,40
2,1,40
4,-1,20
4,1,20
5,-1,16
5,1,16
8,-1,10
8,1,10
10,9,10
1,1,81
3,-1,27
3,1,27
9,1,9
1,1,82
2,-1,41
2,1,41
3,3,28
4,-3,21
4,3,21
6,-3,14
6,3,14
7,-3,12
7,3,12
8,-5,11
8,5,11
1,0,82
2,0,41
7,-6,13
7,6,13
1,1,83
5,-3,17
5,3,17
1,1,84
2,-1,42
2,1,42
3,-1,28
3,1,28
4,-1,21
4,1,21
5,5,18
6,-5,15
6,-1,14
6,1,14
6,5,15
7,-1,12
7,1,12
8,-7,12
8,7,12
9,-5,10
9,5,10
1,1,85
3,3,29
5,-1,17
5,1,17
7,-5,13
7,5,13
1,0,85
2,2,43
5,0,17
10,10,11
1,0,86
2,0,43
3,-2,29
3,2,29
5,-4,18
5,4,18
6,-4,15
6,4,15
9,-4,10
9,4,10
1,1,87
3,-1,29
3,1,29
9,-7,11
9,7,11
1,1,89
5,5,19
7,-3,13
7,3,13
1,0,89
2,2,45
3,-2,30
3,2,30
